Community Area,count
25,34745
8,23409
43,22524
29,20550
28,19655
23,18843
71,17829
67,17057
32,16661
69,16615
49,16207
24,16008
44,15433
66,14342
68,14322
26,13043
6,12090
27,10954
22,10754
19,10638
61,10587
46,10439
53,10244
30,10148
1,9540
42,8706
38,8637
7,8385
2,8375
3,7687
73,7490
77,7162
15,7113
,6282
40,6178
16,6147
35,6119
31,5906
70,5573
14,5451
58,5237
21,5106
63,5016
75,4656
4,4460
51,4405
56,4288
33,4224
41,4011
76,3777
65,3768
17,3749
60,3714
45,3635
48,3458
37,3444
39,3321
20,3276
54,3216
5,3215
10,2927
50,2716
52,2691
11,2538
64,2362
34,2341
72,2223
59,2036
62,1991
57,1975
13,1969
36,1644
18,1515
55,1369
74,1341
12,1269
47,989
9,671
0,12
